Timestamp,Target_Deg,Actual_Pos,Current_A,Voltage_V
0.0000,0.0000,8.0600,0.0000,0.0000
0.1053,1.3220,5.7000,0.6500,-27.5500
0.1203,1.5108,5.1600,8.1600,-22.8100
0.1306,1.6390,5.0000,8.6700,-16.3900
0.1408,1.7667,4.9200,5.6200,-9.0300
0.1509,1.8938,4.9300,11.9300,-0.7300
0.1611,2.0204,5.0300,6.5800,7.5700
0.1712,2.1475,5.2100,5.9500,14.4800
0.1813,2.2739,5.4500,3.7500,20.4600
0.1915,2.4009,5.7300,4.1000,24.6800
0.2017,2.5277,6.0600,1.3400,28.7500
0.2622,3.2799,8.1500,0.3000,31.8200
0.2724,3.4066,8.5000,0.0700,31.8100
0.2826,3.5322,8.8500,0.0100,31.8600
0.2928,3.6582,9.2000,0.1200,31.9900
0.3029,3.7832,9.5500,0.4100,31.8800
0.3489,4.3489,11.3000,0.0000,31.8000
0.3594,4.4776,11.6500,0.0800,31.8300
0.3698,4.6050,12.0000,0.0200,31.9000
0.3801,4.7307,12.3500,0.1700,31.8900
0.3904,4.8564,12.7000,-0.0400,31.7800
0.4008,4.9832,13.0600,0.0000,31.8800
0.4593,5.6920,15.1600,0.1100,31.8700
0.4696,5.8158,15.5100,-0.0300,31.8100
0.4801,5.9424,15.8600,0.3700,31.9600
0.4903,6.0648,16.2100,0.1900,31.8600
0.5006,6.1869,16.5600,0.2000,31.8800
0.5426,6.6874,17.9600,0.1400,31.8400
0.5529,6.8089,18.3100,0.0600,31.8300
0.5631,6.9292,18.6600,0.2000,32.0000
0.5732,7.0485,19.0100,0.4100,31.9300
0.5833,7.1673,19.3600,0.1500,31.8500
0.5934,7.2859,19.7100,0.0300,31.8000
0.6035,7.4036,20.0600,-0.2000,31.9400
0.6485,7.9260,21.8200,0.2200,31.9900
0.6588,8.0442,22.1700,0.1800,31.8800
0.6690,8.1610,22.5200,0.0400,31.7500
0.6791,8.2775,22.8700,-0.5000,31.8000
0.6893,8.3934,23.2200,0.1600,32.0700
0.6995,8.5096,23.5700,0.3600,31.9100
0.7097,8.6254,23.9200,0.1800,31.7700
0.7528,9.1111,25.3200,0.3300,31.7900
0.7631,9.2261,25.6700,-0.1500,31.7000
0.7735,9.3416,26.0200,0.0000,32.0700
0.7836,9.4541,26.3700,0.4800,32.0500
0.7938,9.5666,26.7200,0.4300,31.8700
0.8040,9.6786,27.0700,0.0600,31.7000
0.8507,10.1881,28.8300,-0.3100,31.8800
0.8610,10.2997,29.1800,0.1000,32.0700
0.8712,10.4097,29.5300,0.4200,31.9700
0.8816,10.5207,29.8800,0.1400,31.7000
0.8920,10.6312,30.2300,-0.1100,31.7200
0.9022,10.7399,30.5800,-0.0100,32.0500
0.9443,11.1828,31.9800,-0.0900,31.9600
0.9547,11.2905,32.3300,0.1400,32.0400
0.9649,11.3961,32.6800,0.1300,31.7900
0.9750,11.5001,33.0300,0.0300,31.5700
0.9852,11.6045,33.3800,-0.1200,31.9400
0.9953,11.7080,33.7300,0.1700,32.0400
1.0054,11.8108,34.0800,0.3600,31.8800
1.0498,12.2557,35.8300,0.0600,31.6200
1.0601,12.3577,36.1800,0.0700,31.8200
1.0702,12.4582,36.5300,0.0900,32.0100
1.0806,12.5593,36.8800,0.3500,32.0000
1.0908,12.6594,37.2300,0.2200,31.7000
1.1010,12.7577,37.5800,0.1300,31.7300
1.1444,13.1731,38.9800,0.0700,31.7000
1.1547,13.2703,39.3300,0.0000,31.9100
1.1649,13.3658,39.6800,0.1200,32.0300
1.1750,13.4605,40.0300,0.1800,31.8400
1.1852,13.5552,40.3800,0.2200,31.6500
1.1955,13.6499,40.7300,0.0800,31.8700
1.2057,13.7433,41.0800,0.0700,31.9700
1.2482,14.1262,42.8300,0.1100,31.9400
1.2585,14.2175,43.1800,0.0000,31.6800
1.2689,14.3090,43.5300,-0.0300,31.8300
1.2793,14.3998,43.8800,0.0000,31.9200
1.2895,14.4891,44.2400,0.2700,31.9900
1.2999,14.5785,44.5800,0.0900,31.7600
1.3102,14.6669,44.9400,0.0800,31.8300
1.3203,14.7531,45.2900,0.0400,31.9300
1.3305,14.8388,45.6400,0.1600,31.9800
1.3407,14.9248,45.9900,0.2000,31.8200
1.3510,15.0103,46.3400,0.1700,31.8800
1.3611,15.0944,46.6900,0.1000,31.8700
1.3713,15.1782,47.0400,0.1300,31.9700
1.3816,15.2623,47.3900,0.4300,31.8600
1.3919,15.3451,47.7400,0.1300,31.8600
1.4021,15.4268,48.0900,0.0000,31.8900
1.4485,15.7912,49.8400,-0.0200,31.8900
1.4587,15.8700,50.1900,0.1200,31.8700
1.4689,15.9473,50.5400,-0.1100,31.8300
1.4790,16.0241,50.8900,0.0700,31.8900
1.4892,16.0999,51.2400,0.0100,31.8200
1.4993,16.1752,51.5900,0.0000,31.8600
1.5096,16.2511,51.9400,-0.1700,31.8300
1.5538,16.5686,53.3400,-0.1900,31.8100
1.5641,16.6408,53.7000,0.3400,31.9900
1.5744,16.7119,54.0400,0.2100,31.8500
1.5846,16.7822,54.4000,0.1300,31.8500
1.5949,16.8520,54.7500,-0.1600,31.8300
1.6051,16.9210,55.1000,0.4500,32.0100
1.6498,17.2138,56.8500,0.6000,31.9600
1.6601,17.2791,57.2000,0.2400,31.8600
1.6703,17.3432,57.5500,0.1000,31.7800
1.6806,17.4073,57.9000,-0.1100,31.9800
1.6907,17.4698,58.2500,0.5500,32.0200
1.7009,17.5317,58.6000,0.3600,31.8400
1.7457,17.7955,60.0000,0.2800,31.9000
1.7563,17.8557,60.3500,0.0300,31.7400
1.7665,17.9131,60.7100,-0.5200,31.7900
1.7767,17.9697,61.0600,0.0300,32.0800
1.7868,18.0255,61.7600,0.0300,31.7600
1.7970,18.0803,62.1100,-0.3000,31.7200
1.8075,18.1362,62.4600,-0.0100,32.0700
1.8543,18.3763,63.8600,-0.0800,32.0400
