Time,Command_Torque,Position,Actual_Torque,Speed,Voltage
0.0002,0.0003,3200.00,0.00,9984.00,0.00
0.0205,0.0410,3200.00,0.00,9984.00,0.00
0.0408,0.0815,3200.00,0.00,9984.00,0.00
0.0610,0.1217,3200.00,0.00,9984.00,0.00
0.0812,0.1618,3200.00,0.00,9984.00,0.00
0.1015,0.2015,3200.00,0.00,9984.00,0.00
0.1216,0.2409,3200.00,0.00,9984.00,0.00
0.1419,0.2799,3200.00,0.00,9984.00,0.00
0.1621,0.3185,3200.00,0.00,9984.00,0.00
0.1822,0.3565,3200.00,0.00,9984.00,0.00
0.2024,0.3939,3200.00,0.00,9984.00,0.00
0.2227,0.4308,3200.00,0.00,9984.00,0.00
0.2429,0.4669,3200.00,0.00,9984.00,0.00
0.2632,0.5025,3200.00,0.00,9984.00,0.00
0.2838,0.5376,3200.00,0.50,10240.00,0.26
0.3043,0.5717,3200.00,0.53,10240.00,0.98
0.3247,0.6047,3200.00,0.57,10240.00,1.59
0.3450,0.6365,3200.00,0.61,10240.00,2.01
0.3652,0.6672,3200.00,0.61,10240.00,2.45
0.3855,0.6969,3200.00,0.60,10240.00,3.08
0.4062,0.7259,3200.00,0.69,10240.00,3.73
0.4265,0.7533,3200.00,0.73,10240.00,4.40
0.4468,0.7793,3200.00,0.79,10240.00,5.16
0.4671,0.8041,3200.00,0.86,10240.00,5.87
0.4873,0.8275,3200.00,0.87,10240.00,6.71
0.5076,0.8496,3200.00,0.76,10240.00,7.48
0.5279,0.8703,3200.00,0.89,10240.00,8.37
0.5482,0.8895,3200.00,0.83,10240.00,9.24
0.5684,0.9073,3200.00,0.82,10240.00,10.13
0.5886,0.9236,3200.00,0.88,10240.00,11.13
0.6089,0.9383,3200.00,0.89,10240.00,12.15
0.6292,0.9516,3200.00,0.86,10240.00,13.17
0.6495,0.9633,3200.00,1.01,10240.00,14.24
0.6698,0.9734,3200.00,0.91,10240.00,15.27
0.6901,0.9819,3200.00,1.05,10240.00,16.44
0.7103,0.9887,3200.00,1.02,10240.00,17.49
0.7306,0.9940,3200.00,0.84,10240.00,18.62
0.7508,0.9976,3200.00,0.87,10240.00,19.68
0.7711,0.9996,3200.00,0.98,10240.00,20.82
0.7913,0.9999,3200.00,0.86,10240.00,21.94
0.8115,0.9986,3200.00,0.96,10240.00,23.13
0.8317,0.9957,3200.00,0.87,10240.00,24.27
0.8520,0.9911,3200.00,1.23,10240.00,25.22
0.8723,0.9849,3200.00,1.01,10240.00,26.26
0.8925,0.9771,3200.00,0.79,10240.00,27.73
0.9128,0.9677,3200.00,1.16,10240.00,29.35
0.9331,0.9567,3200.00,0.47,10240.00,30.75
0.9533,0.9441,3200.00,0.20,10240.00,31.79
0.9737,0.9299,3200.00,0.07,10240.00,31.56
0.9940,0.9143,3200.00,0.14,10240.00,31.86
1.0143,0.8971,3200.00,0.23,10240.00,31.54
1.0345,0.8784,3200.00,0.16,10240.00,31.90
1.0548,0.8583,3200.00,0.19,10240.00,31.53
1.0750,0.8369,3200.00,0.11,10240.00,31.88
1.0952,0.8141,3200.00,0.12,10240.00,31.52
1.1154,0.7899,3200.00,0.07,10240.00,31.88
1.1357,0.7644,3200.00,0.09,10240.00,31.51
1.1559,0.7377,3200.00,0.24,10240.00,31.79
1.1762,0.7098,3200.00,0.12,10240.00,31.49
1.1964,0.6808,3200.00,0.27,10240.00,31.76
1.2168,0.6503,3200.00,0.23,10240.00,31.52
1.2372,0.6187,3200.00,0.26,10240.00,31.69
1.2576,0.5863,3200.00,0.07,10240.00,31.53
1.2779,0.5528,3200.00,0.24,10240.00,31.66
1.2984,0.5183,3200.00,0.00,10240.00,31.55
1.3189,0.4828,3200.00,0.33,10240.00,31.55
1.3392,0.4468,3200.00,0.00,9984.00,31.09
1.3595,0.4102,3200.00,0.00,9984.00,30.15
1.3798,0.3728,3200.00,0.00,9984.00,28.81
1.4000,0.3350,3200.00,0.00,9984.00,28.16
1.4202,0.2966,3200.00,0.00,9984.00,26.98
1.4405,0.2576,3200.00,0.00,9984.00,25.76
1.4610,0.2178,3200.00,0.00,9984.00,24.96
1.4814,0.1778,3200.00,0.00,9984.00,24.16
1.5018,0.1375,3200.00,0.00,9984.00,23.20
1.5221,0.0973,3200.00,0.00,9984.00,22.22
1.5424,0.0568,3200.00,0.00,9984.00,21.24
1.5627,0.0162,3200.00,0.00,9984.00,20.36
1.5829,-0.0242,3200.00,0.00,9984.00,19.50
1.6035,-0.0653,3200.00,0.00,9984.00,18.02
1.6239,-0.1060,3200.00,0.00,9984.00,17.24
1.6442,-0.1462,3200.00,0.00,9984.00,16.52
1.6645,-0.1864,3200.00,0.00,9984.00,15.50
1.6849,-0.2262,3200.00,0.00,9984.00,14.71
1.7052,-0.2656,3200.00,0.00,9984.00,14.03
1.7255,-0.3046,3200.00,0.00,9984.00,13.17
1.7460,-0.3433,3200.00,0.00,9984.00,12.39
1.7665,-0.3815,3200.00,0.00,9984.00,11.75
1.7869,-0.4189,3200.00,0.00,9984.00,10.91
1.8073,-0.4556,3200.00,0.00,9984.00,10.27
1.8280,-0.4919,3200.00,0.00,9984.00,9.45
1.8484,-0.5271,3200.00,0.00,9984.00,8.86
1.8687,-0.5611,3200.00,-0.55,10240.00,7.81
1.8890,-0.5942,3200.00,-0.65,10240.00,6.43
1.9093,-0.6264,3200.00,-0.56,10240.00,4.94
1.9297,-0.6578,3200.00,-0.65,10240.00,3.35
